movieId,movieName,Date,Director,Actor,Length,Country
1249315,大路朝天,2018-12-22,苗月,陈瑾、李保田、孙敏、白微,120.0,中国大陆
1196131,神探狗笨吉,2018-12-28,布兰登·坎普,加布里埃尔·贝特曼、达比·坎普、基拉·桑切斯、安格斯·桑普森,85.0,美国
1174518,“大”人物,2019-01-10,五百,王千源、包贝尔、王迅、王砚辉,105.0,中国大陆
1204476,印度暴徒,2018-12-28,维贾伊·克利须那·阿查里雅,阿米尔·汗、阿米达普·巴强、法缇玛·萨那·纱卡、卡特莉娜·卡芙,164.0,印度
345036,地球最后的夜晚,2018-12-31,毕赣,汤唯、黄觉、张艾嘉、李鸿其,138.0,中国大陆
1240159,来电狂响,2018-12-28,于淼,佟大为、马丽、霍思燕、乔杉,103.0,中国大陆
345172,奎迪：英雄再起,2019-01-04,小斯蒂芬·卡普尔,迈克尔·B·乔丹、西尔维斯特·史泰龙、泰莎·汤普森、杜夫·龙格尔,130.0,美国
641,麦兜当当伴我心,2012-07-10,谢立文,张正中、吴君如、许飞、黄秋生,80.0,"中国香港,中国大陆"
345655,云南虫谷,2018-12-29,非行,蔡珩、顾璇、于恒、成泰燊,110.0,中国大陆
1229768,两只小猪之勇闯神秘岛,2018-12-30,罗红胜,,80.0,中国大陆
1218253,阿里巴巴三根金发,2018-12-30,蒋叶峰,杨进,82.0,中国大陆
1206875,大黄蜂,2019-01-04,特拉维斯·奈特,海莉·斯坦菲尔德、约翰·塞纳、小豪尔赫·兰登伯格、杰森·德鲁克,114.0,美国
1249531,热土,2018-12-28,周琦,吴其江、赵梦迪、李宝安、王馨琳,102.0,中国大陆
1244914,龟兔大作战,2018-12-30,代长浩,陈帅、杨进、唐泽宗,83.0,中国大陆
246397,西游记之大圣归来,2015-07-10,田晓鹏,张磊、张欣、林子杰、吉吉,89.0,中国大陆
1189514,断片之险途夺宝,2018-12-29,罗登,葛优、岳云鹏、杜淳、蔡卓妍,94.0,中国大陆
1233852,午夜废墟,2019-05-24,胡韵,张圣岳、常奕然、刘俊峰、曾漪莲,91.0,中国大陆
358750,刀剑神域：序列之争,2017-09-15,伊藤智彦,松冈祯丞、户松遥、伊藤加奈惠、竹达彩奈,119.0,日本
